"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Login functionality","0","0","Login with invalid credentials","0"
"0","","1","Login functionality","0","0","Login with valid credentials","0"
