"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","149088","Login with invalid credentials","","2025-12-08","broken","2025-12-08","","Login functionality","Login with invalid credentials",""
"","78998","Login with valid credentials","","2025-12-08","failed","2025-12-08","","Login functionality","Login with valid credentials",""
